scenario,workload,run_id,slo_violations,slo_violation_duration_sec,proactive_adjustments,reactive_adjustments,avg_reaction_time_ms,p99_latency_ms,error_rate,timestamp
s3-hybrid-reactive,spike,180,12,197,0,14,4312,239,0.013653527008901494,1768441868
s3-hybrid-reactive,spike,181,11,176,0,16,5426,174,0.013597497868594297,1768441868
s3-hybrid-reactive,spike,182,13,151,0,13,5138,245,0.01549923491514268,1768441868
s3-hybrid-reactive,endurance,183,7,122,0,10,4589,180,0.010042374131942883,1768441868
s3-hybrid-reactive,endurance,184,6,106,0,11,4830,170,0.00986609632275729,1768441868
s3-hybrid-reactive,endurance,185,8,115,0,11,4076,203,0.010468513623986844,1768441868
s4-hybrid-predictive,spike,186,3,32,8,5,1594,175,0.007905449832363673,1768441868
s4-hybrid-predictive,spike,187,2,29,10,4,1608,196,0.008753865276451878,1768441868
s4-hybrid-predictive,spike,188,3,33,8,5,1744,192,0.00809904948736483,1768441868
s4-hybrid-predictive,endurance,189,2,17,10,2,1214,127,0.005136640812578807,1768441868
s4-hybrid-predictive,endurance,190,2,14,12,3,1282,155,0.005426904191188833,1768441868
s4-hybrid-predictive,endurance,191,1,17,10,2,1336,152,0.004991439294631569,1768441868
