scenario,workload,run_id,slo_violations,slo_violation_duration_sec,proactive_adjustments,reactive_adjustments,avg_reaction_time_ms,p99_latency_ms,error_rate,timestamp
s3-hybrid-reactive,spike,91,10,190,0,16,4550,247,0.014689560454991929,1768360195
s3-hybrid-reactive,spike,92,12,215,0,12,4457,180,0.014854895070807922,1768360195
s3-hybrid-reactive,spike,93,11,165,0,13,4013,247,0.014421099668678428,1768360195
s3-hybrid-reactive,endurance,94,8,103,0,8,4612,168,0.009791363732942619,1768360195
s3-hybrid-reactive,endurance,95,8,137,0,11,5105,160,0.010571967169843662,1768360195
s3-hybrid-reactive,endurance,96,6,129,0,8,3729,180,0.009979786826474052,1768360195
s4-hybrid-predictive,spike,97,3,25,10,5,1492,189,0.007527132039994637,1768360195
s4-hybrid-predictive,spike,98,3,25,8,4,1590,138,0.008770737497697528,1768360195
s4-hybrid-predictive,spike,99,2,35,9,4,1695,174,0.008284501613552694,1768360195
s4-hybrid-predictive,endurance,100,2,13,13,3,1088,147,0.004859296474959728,1768360195
s4-hybrid-predictive,endurance,101,2,12,14,2,976,146,0.004824291581453044,1768360195
s4-hybrid-predictive,endurance,102,2,13,13,3,1268,144,0.005420250323284733,1768360195
