scenario,workload,run_id,p50_latency_ms,p95_latency_ms,p99_latency_ms,error_rate,throughput_rps,cost_proxy,duration_sec,timestamp
s1-k8s-only,steady,153,30.66106040065481,87.37863451746784,148.1685514824373,0.005010583508769863,97.13403516671404,1.0371379221143011,300,1768441861
s1-k8s-only,steady,154,28.496640272523766,78.14647103389413,145.62119868427038,0.0045766314518786615,102.5805680888555,0.9386726577983043,300,1768441861
s1-k8s-only,steady,155,32.944041455153005,86.05526733536988,153.54933368294786,0.0050540165107062105,107.66590890987935,1.0890718442353553,300,1768441861
s1-k8s-only,spike,156,49.93922423877494,218.38607514149632,383.5716884459193,0.020503106744071107,96.65513496211805,0.9084199523367547,300,1768441861
s1-k8s-only,spike,157,51.31254651282264,202.2535955726967,345.4860633261676,0.01909566158740343,103.96739955509659,1.0224798919890716,300,1768441861
s1-k8s-only,spike,158,46.42106872779657,192.16755625639266,354.12950718665354,0.02147103513666865,109.45532593040781,0.961110231694051,300,1768441861
s1-k8s-only,endurance,159,32.35824836351629,97.57802947432499,166.83848039221982,0.007550443081423052,106.14591950724889,0.9388556444646514,300,1768441861
s1-k8s-only,endurance,160,32.1991202901908,106.21893575145825,193.88336935809656,0.007427758925089028,90.35543759226489,0.9200913366393283,300,1768441861
s1-k8s-only,endurance,161,33.47293686859213,94.4078623871258,187.17329618553705,0.007509245527662082,106.79092602183803,1.0934810752206174,300,1768441861
s2-serverless-only,steady,162,86.32723813846962,161.4738860622412,225.4975822501849,0.003133023172763772,109.17995170174382,1.5237068677552403,300,1768441861
s2-serverless-only,steady,163,78.2233660169866,160.01236651032988,205.3212126169196,0.0029603473346887965,108.95924062218383,1.483178721014229,300,1768441861
s2-serverless-only,steady,164,79.41360887303402,145.39664737370177,239.65586426453322,0.0031593540779491945,101.65170973026628,1.4075948966298526,300,1768441861
s2-serverless-only,spike,165,55.184128375855714,113.33785546821964,185.9512485513478,0.009410421246969485,93.99498329500874,1.9056307642594965,300,1768441861
s2-serverless-only,spike,166,59.48219582087929,127.14741869405044,167.02444689032157,0.009124483340050997,107.97154900673576,2.068001758929928,300,1768441861
s2-serverless-only,spike,167,56.87299653256301,120.92519031812473,185.14921278093635,0.010249030151235034,106.62842462401905,2.165049335521974,300,1768441861
s2-serverless-only,endurance,168,85.1334882479311,160.09962571049869,244.75838894784704,0.0051747759078256805,91.15170935247362,1.8094865760190044,300,1768441861
s2-serverless-only,endurance,169,84.106241653397,163.6781127953507,241.1733961639514,0.004831413821058829,104.53183805773361,1.6517388490748297,300,1768441861
s2-serverless-only,endurance,170,94.3799077847861,180.1805499224409,232.71056182282237,0.005491271411924756,103.34130783930871,1.79469682209949,300,1768441861
s4-hybrid-predictive,steady,171,25.539318094660747,59.46866806946598,124.52194883309348,0.0029918484255463144,95.69594781029342,0.9579109319597465,300,1768441861
s4-hybrid-predictive,steady,172,26.366733909111517,54.40144559792467,119.19366581795863,0.0032501193104098516,104.2757956872349,0.8275647570830645,300,1768441861
s4-hybrid-predictive,steady,173,24.711896617736812,61.04804460089217,112.65814361722872,0.0032681002074361402,106.74055488498036,0.8900760244839674,300,1768441861
s4-hybrid-predictive,spike,174,43.3852157314046,100.66140020886509,161.48804544303871,0.007243920390786188,96.64847264647817,1.2846782193193311,300,1768441861
s4-hybrid-predictive,spike,175,40.4640010359774,94.37247399369734,153.38378995732714,0.0080266064668224,98.81477587509349,1.1890160951889148,300,1768441861
s4-hybrid-predictive,spike,176,43.54284960727642,92.85926225114063,167.63307065554238,0.008633133547704609,99.16755137586412,1.2757054628482902,300,1768441861
s4-hybrid-predictive,endurance,177,27.2243375583324,69.59977905284231,139.80820319946912,0.0036357930168728282,108.94864577157968,0.9735840512385866,300,1768441861
s4-hybrid-predictive,endurance,178,28.171592366127477,76.6593006687236,138.19804319884432,0.004339198255288213,103.25553831834694,0.9041089684561918,300,1768441861
s4-hybrid-predictive,endurance,179,30.695725848249847,68.74811782219241,138.6846943426284,0.0037005098704339604,97.91485196366209,1.0155847949051642,300,1768441861
